,risk_category,state_name,county_name,census_tract_code
64916,Current Risk (FEMA High Risk),Washington,Wahkiakum,53069950100
81755,Current Risk (FEMA High Risk),Washington,Snohomish,53061052104
52660,Current Risk (FEMA High Risk),Washington,Skagit,53057950801
60350,Current Risk (FEMA High Risk),Washington,Skagit,53057952100
67413,Current Risk (FEMA High Risk),Washington,Skagit,53057950802
39578,Current Risk (FEMA High Risk),Washington,Pacific,53049950400
40722,Current Risk (FEMA High Risk),Washington,Pacific,53049950200
51203,Current Risk (FEMA High Risk),Washington,Pacific,53049950302
75160,Current Risk (FEMA High Risk),Washington,Pacific,53049950301
64863,Current Risk (FEMA High Risk),Washington,Kitsap,53035090101
74985,Current Risk (FEMA High Risk),Washington,Kitsap,53035080700
68915,Current Risk (FEMA High Risk),Washington,Island,53029971500
5392,Current Risk (FEMA High Risk),Washington,Grays Harbor,53027000900
18337,Current Risk (FEMA High Risk),Washington,Grays Harbor,53027001300
35847,Current Risk (FEMA High Risk),Washington,Grays Harbor,53027001100
40041,Current Risk (FEMA High Risk),Washington,Grays Harbor,53027001400
45569,Current Risk (FEMA High Risk),Washington,Grays Harbor,53027001500
60003,Current Risk (FEMA High Risk),Washington,Grays Harbor,53027000800
61665,Current Risk (FEMA High Risk),Washington,Grays Harbor,53027001200
75523,Current Risk (FEMA High Risk),Washington,Grays Harbor,53027001000
61772,Current Risk (FEMA High Risk),Virginia,York,51199050402
68749,Current Risk (FEMA High Risk),Virginia,York,51199050401
71142,Current Risk (FEMA High Risk),Virginia,York,51199050304
17147,Current Risk (FEMA High Risk),Virginia,Virginia Beach city,51810045412
17152,Current Risk (FEMA High Risk),Virginia,Virginia Beach city,51810044808
17155,Current Risk (FEMA High Risk),Virginia,Virginia Beach city,51810046204
58068,Current Risk (FEMA High Risk),Virginia,Virginia Beach city,51810045407
58125,Current Risk (FEMA High Risk),Virginia,Virginia Beach city,51810046400
75173,Current Risk (FEMA High Risk),Virginia,Virginia Beach city,51810045605
76045,Current Risk (FEMA High Risk),Virginia,Virginia Beach city,51810044600
41816,Current Risk (FEMA High Risk),Virginia,Surry,51181860100
38354,Current Risk (FEMA High Risk),Virginia,Richmond,51159040100
484,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740212300
15534,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740213200
20316,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740210900
25348,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740213001
44846,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740213002
64236,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740211600
64237,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740212900
64238,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740213104
72230,Current Risk (FEMA High Risk),Virginia,Portsmouth city,51740980100
25638,Current Risk (FEMA High Risk),Virginia,Poquoson city,51735340100
64228,Current Risk (FEMA High Risk),Virginia,Poquoson city,51735340200
64229,Current Risk (FEMA High Risk),Virginia,Poquoson city,51735340300
44658,Current Risk (FEMA High Risk),Virginia,Northumberland,51133020100
48378,Current Risk (FEMA High Risk),Virginia,Northumberland,51133020302
62192,Current Risk (FEMA High Risk),Virginia,Northumberland,51133020200
73970,Current Risk (FEMA High Risk),Virginia,Northumberland,51133020301
38835,Current Risk (FEMA High Risk),Virginia,Northampton,51131930301
62181,Current Risk (FEMA High Risk),Virginia,Northampton,51131930100
71322,Current Risk (FEMA High Risk),Virginia,Northampton,51131930200
74287,Current Risk (FEMA High Risk),Virginia,Northampton,51131930302
1442,Current Risk (FEMA High Risk),Virginia,Norfolk city,51710004002
64702,Current Risk (FEMA High Risk),Virginia,Norfolk city,51710002800
64749,Current Risk (FEMA High Risk),Virginia,Norfolk city,51710004900
72663,Current Risk (FEMA High Risk),Virginia,Norfolk city,51710006501
25336,Current Risk (FEMA High Risk),Virginia,Newport News city,51700032223
35058,Current Risk (FEMA High Risk),Virginia,Newport News city,51700032300
45019,Current Risk (FEMA High Risk),Virginia,Newport News city,51700031100
61801,Current Risk (FEMA High Risk),Virginia,Newport News city,51700032211
61836,Current Risk (FEMA High Risk),Virginia,Newport News city,51700030300
78275,Current Risk (FEMA High Risk),Virginia,Newport News city,51700031300
78849,Current Risk (FEMA High Risk),Virginia,Newport News city,51700032001
40566,Current Risk (FEMA High Risk),Virginia,Middlesex,51119951000
67121,Current Risk (FEMA High Risk),Virginia,Middlesex,51119951100
84026,Current Risk (FEMA High Risk),Virginia,Middlesex,51119951200
4412,Current Risk (FEMA High Risk),Virginia,Mathews,51115951302
40565,Current Risk (FEMA High Risk),Virginia,Mathews,51115951401
44659,Current Risk (FEMA High Risk),Virginia,Mathews,51115951402
9515,Current Risk (FEMA High Risk),Virginia,Lancaster,51103030302
44715,Current Risk (FEMA High Risk),Virginia,Lancaster,51103030301
50169,Current Risk (FEMA High Risk),Virginia,Lancaster,51103030100
70167,Current Risk (FEMA High Risk),Virginia,Lancaster,51103030200
1620,Current Risk (FEMA High Risk),Virginia,Hampton city,51650010103
29554,Current Risk (FEMA High Risk),Virginia,Hampton city,51650012100
33075,Current Risk (FEMA High Risk),Virginia,Hampton city,51650010601
35278,Current Risk (FEMA High Risk),Virginia,Hampton city,51650010800
61779,Current Risk (FEMA High Risk),Virginia,Hampton city,51650010701
65718,Current Risk (FEMA High Risk),Virginia,Hampton city,51650010306
13000,Current Risk (FEMA High Risk),Virginia,Gloucester,51073100400
22084,Current Risk (FEMA High Risk),Virginia,Gloucester,51073100301
54773,Current Risk (FEMA High Risk),Virginia,Gloucester,51073100500
80798,Current Risk (FEMA High Risk),Virginia,Gloucester,51073100203
51110,Current Risk (FEMA High Risk),Virginia,Essex,51057950700
51111,Current Risk (FEMA High Risk),Virginia,Essex,51057950800
29605,Current Risk (FEMA High Risk),Virginia,Accomack,51001090101
39470,Current Risk (FEMA High Risk),Virginia,Accomack,51001090300
71335,Current Risk (FEMA High Risk),Virginia,Accomack,51001090102
80916,Current Risk (FEMA High Risk),Virginia,Accomack,51001090600
64630,Current Risk (FEMA High Risk),Texas,Willacy,48489950700
15215,Current Risk (FEMA High Risk),Texas,San Patricio,48409010201
56200,Current Risk (FEMA High Risk),Texas,San Patricio,48409010302
56196,Current Risk (FEMA High Risk),Texas,Refugio,48391950400
1937,Current Risk (FEMA High Risk),Texas,Nueces,48355006204
9595,Current Risk (FEMA High Risk),Texas,Nueces,48355005104
9645,Current Risk (FEMA High Risk),Texas,Nueces,48355006202
