U.S. Coastline Counties: 2016,,,,,,
,,,,,,
"STATE/
COUNTY
FIPS","STATE
FIPS","COUNTY
FIPS",COUNTY NAME,STATE NAME,COASTLINE REGION,"V.2016
POPULATION
ESTIMATE"
01003,01,003,Baldwin County,Alabama,Gulf of Mexico,"208,563"
01097,01,097,Mobile County,Alabama,Gulf of Mexico,"414,836"
02013,02,013,Aleutians East Borough,Alaska,Pacific,"3,296"
02016,02,016,Aleutians West Census Area,Alaska,Pacific,"5,647"
02020,02,020,Anchorage Borough,Alaska,Pacific,"298,192"
02050,02,050,Bethel Census Area,Alaska,Pacific,"17,968"
02060,02,060,Bristol Bay Borough,Alaska,Pacific,898
02070,02,070,Dillingham Census Area,Alaska,Pacific,"4,954"
02100,02,100,Haines Borough,Alaska,Pacific,"2,496"
02105,02,105,Hoonah-Angoon Census Area,Alaska,Pacific,"2,078"
02110,02,110,Juneau Borough,Alaska,Pacific,"32,468"
02122,02,122,Kenai Peninsula Borough,Alaska,Pacific,"58,506"
02130,02,130,Ketchikan Gateway Borough,Alaska,Pacific,"13,746"
02150,02,150,Kodiak Island Borough,Alaska,Pacific,"13,732"
02158,02,158,Kusilvak Census Area,Alaska,Pacific,"8,049"
02164,02,164,Lake and Peninsula Borough,Alaska,Pacific,"1,562"
02170,02,170,Matanuska-Susitna Borough,Alaska,Pacific,"104,365"
02180,02,180,Nome Census Area,Alaska,Pacific,"9,917"
02185,02,185,North Slope Borough,Alaska,Pacific,"9,606"
02188,02,188,Northwest Arctic Borough,Alaska,Pacific,"7,673"
02195,02,195,Petersburg Borough,Alaska,Pacific,"3,149"
02198,02,198,Prince of Wales-Hyder Census Area,Alaska,Pacific,"6,347"
02220,02,220,Sitka Borough,Alaska,Pacific,"8,830"
02230,02,230,Skagway Municipality,Alaska,Pacific,"1,088"
02261,02,261,Valdez-Cordova Census Area,Alaska,Pacific,"9,355"
02275,02,275,Wrangell City and Borough,Alaska,Pacific,"2,411"
02282,02,282,Yakutat Borough,Alaska,Pacific,601
06001,06,001,Alameda County,California,Pacific,"1,647,704"
06013,06,013,Contra Costa County,California,Pacific,"1,135,127"
06015,06,015,Del Norte County,California,Pacific,"27,540"
06023,06,023,Humboldt County,California,Pacific,"136,646"
06037,06,037,Los Angeles County,California,Pacific,"10,137,915"
06041,06,041,Marin County,California,Pacific,"260,651"
06045,06,045,Mendocino County,California,Pacific,"87,628"
06053,06,053,Monterey County,California,Pacific,"435,232"
06059,06,059,Orange County,California,Pacific,"3,172,532"
06073,06,073,San Diego County,California,Pacific,"3,317,749"
06075,06,075,San Francisco County,California,Pacific,"870,887"
06079,06,079,San Luis Obispo County,California,Pacific,"282,887"
06081,06,081,San Mateo County,California,Pacific,"764,797"
06083,06,083,Santa Barbara County,California,Pacific,"446,170"
06085,06,085,Santa Clara County,California,Pacific,"1,919,402"
06087,06,087,Santa Cruz County,California,Pacific,"274,673"
06095,06,095,Solano County,California,Pacific,"440,207"
06097,06,097,Sonoma County,California,Pacific,"503,070"
06111,06,111,Ventura County,California,Pacific,"849,738"
09001,09,001,Fairfield County,Connecticut,Atlantic,"944,177"
09007,09,007,Middlesex County,Connecticut,Atlantic,"163,329"
09009,09,009,New Haven County,Connecticut,Atlantic,"856,875"
09011,09,011,New London County,Connecticut,Atlantic,"269,801"
10001,10,001,Kent County,Delaware,Atlantic,"174,827"
10003,10,003,New Castle County,Delaware,Atlantic,"556,987"
10005,10,005,Sussex County,Delaware,Atlantic,"220,251"
12005,12,005,Bay County,Florida,Gulf of Mexico,"183,974"
12009,12,009,Brevard County,Florida,Atlantic,"579,130"
12011,12,011,Broward County,Florida,Atlantic,"1,909,632"
12015,12,015,Charlotte County,Florida,Gulf of Mexico,"178,465"
12017,12,017,Citrus County,Florida,Gulf of Mexico,"143,621"
12021,12,021,Collier County,Florida,Gulf of Mexico,"365,136"
12029,12,029,Dixie County,Florida,Gulf of Mexico,"16,300"
12031,12,031,Duval County,Florida,Atlantic,"926,255"
12033,12,033,Escambia County,Florida,Gulf of Mexico,"315,187"
12035,12,035,Flagler County,Florida,Atlantic,"108,310"
12037,12,037,Franklin County,Florida,Gulf of Mexico,"11,901"
12045,12,045,Gulf County,Florida,Gulf of Mexico,"15,990"
12053,12,053,Hernando County,Florida,Gulf of Mexico,"182,835"
12057,12,057,Hillsborough County,Florida,Gulf of Mexico,"1,376,238"
12061,12,061,Indian River County,Florida,Atlantic,"151,563"
12065,12,065,Jefferson County,Florida,Gulf of Mexico,"13,906"
12071,12,071,Lee County,Florida,Gulf of Mexico,"722,336"
12075,12,075,Levy County,Florida,Gulf of Mexico,"39,961"
12081,12,081,Manatee County,Florida,Gulf of Mexico,"375,888"
12085,12,085,Martin County,Florida,Atlantic,"158,701"
12086,12,086,Miami-Dade County,Florida,Atlantic,"2,712,945"
12087,12,087,Monroe County,Florida,Gulf of Mexico,"79,077"
12089,12,089,Nassau County,Florida,Atlantic,"80,622"
12091,12,091,Okaloosa County,Florida,Gulf of Mexico,"201,170"
12099,12,099,Palm Beach County,Florida,Atlantic,"1,443,810"
12101,12,101,Pasco County,Florida,Gulf of Mexico,"512,368"
12103,12,103,Pinellas County,Florida,Gulf of Mexico,"960,730"
12109,12,109,St. Johns County,Florida,Atlantic,"235,087"
12111,12,111,St. Lucie County,Florida,Atlantic,"306,507"
12113,12,113,Santa Rosa County,Florida,Gulf of Mexico,"170,497"
12115,12,115,Sarasota County,Florida,Gulf of Mexico,"412,569"
12123,12,123,Taylor County,Florida,Gulf of Mexico,"22,175"
12127,12,127,Volusia County,Florida,Atlantic,"529,364"
12129,12,129,Wakulla County,Florida,Gulf of Mexico,"31,893"
12131,12,131,Walton County,Florida,Gulf of Mexico,"65,889"
13029,13,029,Bryan County,Georgia,Atlantic,"36,230"
13039,13,039,Camden County,Georgia,Atlantic,"53,008"
13051,13,051,Chatham County,Georgia,Atlantic,"289,082"
13127,13,127,Glynn County,Georgia,Atlantic,"84,502"
13179,13,179,Liberty County,Georgia,Atlantic,"62,570"
13191,13,191,McIntosh County,Georgia,Atlantic,"13,927"
15001,15,001,Hawaii County,Hawaii,Pacific,"198,449"
15003,15,003,Honolulu County,Hawaii,Pacific,"992,605"
15005,15,005,Kalawao County,Hawaii,Pacific,88
15007,15,007,Kauai County,Hawaii,Pacific,"72,029"
15009,15,009,Maui County,Hawaii,Pacific,"165,386"
22023,22,023,Cameron Parish,Louisiana,Gulf of Mexico,"6,882"
22045,22,045,Iberia Parish,Louisiana,Gulf of Mexico,"73,273"
22051,22,051,Jefferson Parish,Louisiana,Gulf of Mexico,"436,523"
22057,22,057,Lafourche Parish,Louisiana,Gulf of Mexico,"98,305"
